date, pm25, pm10, o3, no2, so2, co
2/19/2016,55,24,32,14,3,4
2/20/2016,55,14,32,9,2,3
2/21/2016,49,71,23,32,15,15
2/22/2016,167,60,33,23,11,11
2/23/2016,128,15,33,9,4,3
2/24/2016,49,36,25,22,5,6
2/25/2016,79,32,25,20,4,5
2/26/2016,70,42,29,19,6,6
2/27/2016,91,26,29,18,5,5
2/28/2016,71,40,32,17,5,7
2/29/2016,93,33,26,21,5,5
3/1/2016,96,86,23,41,17,16
3/2/2016,188,116,28,57,17,24
3/3/2016,232,151,22,60,26,32
3/4/2016,345,202,7,61,33,43
3/5/2016,374,177,33,11,3,3
3/6/2016,150,113,14,39,16,15
3/7/2016,156,61,35,20,10,9
3/8/2016,81,19,33,8,1,3
3/9/2016,45,15,29,9,1,2
3/10/2016,41,35,30,10,1,3
3/11/2016,44,42,28,21,3,4
3/12/2016,66,84,17,42,21,14
3/13/2016,176,35,37,15,4,4
3/14/2016,68,80,28,33,12,11
3/15/2016,154,108,23,37,26,11
3/16/2016,194,150,60,47,22,19
3/17/2016,284,150,52,52,18,18
3/18/2016,298,36,46,44,8,14
3/19/2016,238,75,30,23,10,9
3/20/2016,147,69,38,36,8,12
3/21/2016,139,110,48,48,13,11
3/22/2016,189,129,20,45,16,12
3/23/2016,185,34,34,16,3,7
3/24/2016,64,24,37,19,2,5
3/25/2016,47,36,35,22,3,4
3/26/2016,70,27,35,15,1,2
3/27/2016,45,31,38,16,2,2
3/28/2016,40,131,32,38,10,7
3/29/2016,159,52,39,14,2,3
3/30/2016,57,48,37,19,4,4
3/31/2016,68,135,52,41,20,14
4/1/2016,203,82,36,15,4,4
4/2/2016,106,21,34,8,1,1
4/3/2016,26,34,37,12,1,2
4/4/2016,44,75,52,24,6,5
4/5/2016,148,91,61,27,10,8
4/6/2016,179,83,40,32,19,17
4/7/2016,183,83,36,29,3,10
4/8/2016,160,50,39,15,4,2
4/9/2016,68,164,40,29,7,7
4/10/2016,156,117,39,22,8,8
4/11/2016,137,70,35,20,4,5
4/12/2016,144,65,31,29,4,7
4/13/2016,155,87,39,41,4,10
4/14/2016,191,68,43,14,2,2
4/15/2016,92,72,45,34,11,10
4/16/2016,148,57,32,10,2,3
4/17/2016,79,24,38,8, ,2
4/18/2016,50,26,40,11,1,2
4/19/2016,53,65,21,31,11,12
4/20/2016,140,60,48,20,5,6
,,,,,,
1/1/2017,379,425,4,59,4,62
1/2/2017,486,243,17,46,6,33
1/3/2017,273,282,6,74,9,55
1/4/2017,383,387,7,68,9,67
1/5/2017,437,170,4,49,10,48
1/6/2017,281,144,3,53,16,49
1/7/2017,285,142,3,41,12,36
1/8/2017,244, ,20,13,5,6
1/9/2017,77,51,18,16,3,6
1/10/2017,77,38,22,18,3,6
1/11/2017,71,65,7,38,11,15
1/12/2017,149,50,23,27,8,9
1/13/2017,104,24,27,13,5,4
1/14/2017,38,36,23,24,6,7
1/15/2017,61,55,16,26,6,10
1/16/2017,124,82,5,36,12,17
1/17/2017,174,106,8,42,15,22
1/18/2017,203,49,15,28,6,8
1/19/2017,114,71,27,19,9,10
1/20/2017,108,31,24,18,4,5
1/21/2017,64,45,26,17,8,4
1/22/2017,80,35,18,23,7,7
1/23/2017,83,44,19,23,9,8
1/24/2017,99,88,7,34,24,24
