date, pm25, pm10, o3, no2, so2, co
1/26/2016,112,62,24,38,11,8
1/27/2016,143,44,11,38,7,9
1/28/2016,117,26,15,27,5,8
1/29/2016,84,30,30,15,5,6
1/30/2016,85,51,29,12,6,6
1/31/2016,110,60,34,15,9,8
2/1/2016,150,49,33,13,8,7
2/2/2016,130,72,32,21,16,11
2/3/2016,166,57,29,21,11,9
2/4/2016,140,37,23,19,8,7
2/5/2016,103,100,50,19,17,13
2/6/2016,195,66,39,12,12,9
2/7/2016,145,68,49,15,11,8
2/8/2016,150,101,49,18,11,8
2/9/2016,168,87,53,19,11,8
2/10/2016,161,52,54,15,7,6
2/11/2016,102,29,43,41,5,6
2/12/2016,78,28,34,14,4,8
2/13/2016,85,53,22,15,4,12
2/14/2016,120,42,32,11,6,6
2/15/2016,110,40,36,14,10,6
2/16/2016,100,48,36,13,11,7
2/17/2016,108,60,36,23,16,9
2/18/2016,148,67,43,23,11,7
2/19/2016,150,64,23,40,9,7
2/20/2016,154,85,41,12,11,7
2/21/2016,150,86,42,9,7,6
2/22/2016,122,59,40,9,5,6
2/23/2016,116,52,39,4,5,6
2/24/2016,119,53,40,9,8,6
2/25/2016,108,52,44,19,8,6
2/26/2016,118,79,46,29,9,7
2/27/2016,158,80,41,29,9,7
2/28/2016,144,84,41,22,9,6
2/29/2016,136,62,43,15,10,7
3/1/2016,137,48,39,18,8,5
3/2/2016,106,75,49,26,8,7
3/3/2016,153,88,39,42,11,8
3/4/2016,154,60,41,22,9,4
3/5/2016,88,84,65,24,10,7
3/6/2016,149,82,28,18,6,7
3/7/2016,171,75,34,25,8,8
3/8/2016,163,20,36,10,5,5
3/9/2016,64,31,38,5,5,5
3/10/2016,72,29,37,9,7,5
3/11/2016,78,51,37,27,11,7
3/12/2016,131,71,66,24,11,7
3/13/2016,164,54,44,20,6,6
3/14/2016,144,61,51,14,8,7
3/15/2016,146,47,44,16,7,4
3/16/2016,112,52,40,24,7,5
3/17/2016,117,47,32,24,5,5
3/18/2016,111,78,21,41,10,10
3/19/2016,164,38,26,26,6,5
3/20/2016,114,59,46,25,9,6
3/21/2016,139,58,47,18,8,6
3/22/2016,141,46,39,21,6,4
3/23/2016,115,46,49,12,7,4
3/24/2016,106,40,43,7,6,2
3/25/2016,79,49,52,14,9,4
3/26/2016,104,58,54,26,10,5
3/27/2016,134,95,48,24,12,7
3/28/2016,173,90,75,39,13,7
3/29/2016,166,75,59,35,11,6
3/30/2016,152,93,44,46,12,7
3/31/2016,157,54,39,32,6,6
4/1/2016,133,74,71,29,7,7
4/2/2016,167,58,48,24,6,6
4/3/2016,145,54,35,23,6,6
4/4/2016,140,41,43,17,7,5
4/5/2016,88,43,33,21,7,4
4/6/2016,80,37,30,24,5,6
4/7/2016,98,59,18,32,6,9
4/8/2016,140,48,36,32,6,5
4/9/2016,121,52,48,31,7,5
4/10/2016,115,66,34,30,7,6
4/11/2016,154,49,42,24,6,5
