date, pm25, pm10, o3, no2, so2, co
1/16/2016,214,167,52,46,21,22
1/17/2016,221,114,74,27,16,16
1/18/2016,231,158,48,26,22,21
1/19/2016,294,130,34,35,20,18
1/20/2016,233,94,51,30,22,13
1/21/2016,201,57,49,21,15,11
1/22/2016,174,47,45,18,9,8
1/23/2016,162,66,63,15,18,13
1/24/2016,170,95,63,14,10,10
1/25/2016,107,98,62,28,13,10
1/26/2016,138,113,45,43,30,13
1/27/2016,168,95,70,37,29,13
1/28/2016,173,76,36,29,17,12
1/29/2016,178,64,59,21,14,12
1/30/2016,182,59,54,21,8,12
1/31/2016,172,67,41,17,11,14
2/1/2016,187,79,80,19,13,16
2/2/2016,189,97,73,31,18,18
2/3/2016,192,98,58,44,16,19
2/4/2016,184,104,69,50,21,19
2/5/2016,180,82,86,32,15,13
2/6/2016,182,71,74,17,17,9
2/7/2016,122,86,79,26,12,12
2/8/2016,152,204,75,44,26,21
2/9/2016,287,106,72,42,33,23
2/10/2016,196,80,50,36,26,15
2/11/2016,162,74,50,31,22,16
2/12/2016,160,72,55,23,15,16
2/13/2016,170,51,62,13,11,14
2/14/2016,147,45,64,12,14,10
2/15/2016,130,46,73,18,14,8
2/16/2016,108,65,75,31,17,11
2/17/2016,136,88,67,50,22,19
2/18/2016,173,87,56,51,16,16
2/19/2016,167,115,57,38,25,17
2/20/2016,171,150,77,29,18,11
2/21/2016,155,141,63,30,20,15
2/22/2016,164,82,70,23,16,18
2/23/2016,161,140,65,22,11,17
2/24/2016,225,162,72,35,17,27
2/25/2016,262,129,59,43,20,18
2/26/2016,213,96,59,28,13,15
2/27/2016,165,85,69,31,11,14
2/28/2016,148,120,78,33,22,17
2/29/2016,177,96,84,37,24,21
3/1/2016,256,102,83,34,25,12
3/2/2016,173,125,54,56,33,26
3/3/2016,179,180,43,71,36,21
3/4/2016,220,108,61,36,14,16
3/5/2016,184,238,69,30,20,12
3/6/2016,192,166,88,37,22,15
3/7/2016,220,146,54,39,25,18
3/8/2016,229,34,57,13,11,12
3/9/2016,135,34,45,12,9,9
3/10/2016,83,48,73,18,10,9
3/11/2016,116,71,71,36,14,11
3/12/2016,157,89,68,38,32,12
3/13/2016,160,91,67,34,15,12
3/14/2016,168,100,91,36,19,16
3/15/2016,190,117,58,49,20,12
3/16/2016,190,135,56,59,17,16
3/17/2016,190,157,9,67,18,17
3/18/2016,208,122,59,42,11,12
3/19/2016,213,140,76,50,17,18
3/20/2016,199,93,42,34,12,18
3/21/2016,179,95,62,33,13,13
3/22/2016,165,120,81,53,19,15
3/23/2016,172,85,54,18,7,7
3/24/2016,169,64,55,18,7,8
3/25/2016,119,75,45,31,14,8
3/26/2016,115,83,53,39,12,9
3/27/2016,156,80,60,41,8,9
3/28/2016,156,90,63,42,10,9
3/29/2016,146,98,24,51,14,8
3/30/2016,158,73,18,32,6,11
3/31/2016,172,64,56,30,6,9
4/1/2016,159,83,57,35,15,11
4/2/2016,162,93,22,38,11,15
4/3/2016,169,52,29,17,2,10
4/4/2016,139,66,38,25,6,13
4/5/2016,140,68,16,27,11,18
4/6/2016,155,19,13,20,1,10
4/7/2016,77,52,42,29,6,15
4/8/2016,116,102,48,59,7,20
4/9/2016,171,112,32,62,9,19
4/10/2016,168,115,75,62,10,20
4/11/2016,174,104,92,50,11,16
4/12/2016,156,86,63,42,10,12
4/13/2016,167,120,99,60,7,13
4/14/2016,193,113,77,46,11,11
4/15/2016,165,61,68,26,9,8
4/16/2016,111,43,40,20,3,8
4/17/2016,99,60,30,29,7,12
