date, pm25, pm10, o3, no2, so2, co
3/9/2016,90,32,9,32,4,8
3/10/2016,89,10,24,31,4,7
3/11/2016,30,23,12,35,5,6
3/12/2016,60,37,18,25,3,5
3/13/2016,93,29,18,28,4,8
3/14/2016,82,26,11,35,4,7
3/15/2016,64,47,35,32,3,5
3/16/2016,104,42,32,31,2,6
3/17/2016,104,25,21,32,3,7
3/18/2016,72,53,12,42,6,9
3/19/2016,130,43,5,38,7,10
3/20/2016,112,48,40,24,4,6
3/21/2016,115,33,34,33,3,6
3/22/2016,83,28,35,32,3,6
3/23/2016,74,39,25,42,4,9
3/24/2016,98,17,24,33,2,6
3/25/2016,49,40,39,44,4,6
3/26/2016,93,47,35,43,6,6
3/27/2016,101,44,48,51,7,6
3/28/2016,93,53,60,34,6,5
3/29/2016,119,49,44,50,5,6
3/30/2016,98,64,46,55,5,8
3/31/2016,124,78,8,80,20,12
4/1/2016,160,58,8,59,18,10
4/2/2016,145,57,21,37,3,8
4/3/2016,141,49,16,37,7,7
4/4/2016,115,30,14,31,5,6
4/5/2016,80,27,13,38,4,8
4/6/2016,72,28,10,28,3,6
4/7/2016,82,30,10,30,3,5
4/8/2016,78,32,12,29,5,5
4/9/2016,84,25,14,27,4,5
4/10/2016,71,24,20,34,5,5
4/11/2016,65,21,31,28,3,4
4/12/2016,57,24,31,30,4,4
4/13/2016,62,28,16,48,5,8
4/14/2016,72,36,16,37,6,8
4/15/2016,85,30,19,36,3,6
4/16/2016,74,49,25,25,6,6
4/17/2016,102,28,9,19,5,5
4/18/2016,74,26,25,42,6,7
4/19/2016,67,28,41,27,3,5
4/20/2016,66,45,41,34,3,5
,,,,,,
1/1/2017,116,24,29,22,1,5
1/2/2017,49,37,29,44,5,7
1/3/2017,76,42,27,47,5,8
1/4/2017,97,35,34,38,3,7
1/5/2017,79,31,31,50,4,10
1/6/2017,72,42,30,45,4,9
1/7/2017,94,36,30,36,3,9
1/8/2017,87,53,44,71,10,12
1/9/2017,120,49,37,41,3,12
1/10/2017,113,47,37,34,3,10
1/11/2017,104,57,39,37,3,10
1/12/2017,135,66,33,38,4,11
1/13/2017,152,26,8,37,3,12
1/14/2017,64,20,8,30,2,10
1/15/2017,60,33,15,30,3,9
1/16/2017,86,34,25,30,3,8
1/17/2017,87,32,29,33,3,5
1/18/2017,71,39,27,40,3,7
1/19/2017,85,54,16,52,6,10
1/20/2017,117,35,27,45,3,11
1/21/2017,79,55,25,50,5,11
1/22/2017,133,53,32,45,6,10
1/23/2017,127,54,41,42,4,9
1/24/2017,114,53,43,34,4,8
1/25/2017,101,40,33,39,4,8
1/26/2017,81,44,36,42,3,9
1/27/2017,102,40,37,50,6,9
1/28/2017,83,40,34,26,4,7
1/29/2017,92,33,33,24,4,7
1/30/2017,79,30,24,32,6,8
1/31/2017,74,36,21,21,4,10
2/1/2017,79,37,24,36,6,11
2/2/2017,85,34,28,26,4,8
2/3/2017,73,34,31,34,4,10
2/4/2017,83,33,27,35,3,9
2/5/2017,82,38,18,44,5,10
2/6/2017,103,41,35,30,3,9
2/7/2017,96,53,46,27,4,10
2/8/2017,117,41,35,39,5,9
2/9/2017,84,28,26,49,4,12
2/10/2017,68,54,26,53,6,12
2/11/2017,140,54,35,44,6,9
2/12/2017,138,56,43,41,7,6
2/13/2017,136,45,44,46,6,6
2/14/2017,92,33,40,35,5,5
2/15/2017,67,35,44,37,5,5
2/16/2017,71,39,34,58,5,7
2/17/2017,76,48,16,68,8,9
2/18/2017,101,43,28,48,5,9
2/19/2017,93,45,40,28,3,6
2/20/2017,107,48,33,52,8,8
2/21/2017,107,35,27,29,4,6
2/22/2017,81,27,28,36,3,7
2/23/2017,69,52,11,35,5,10
2/24/2017,115,25,8,37,4,9
2/25/2017,65,22,8,34,3,9
2/26/2017,53,16,20,34,4,7
2/27/2017,48,37,39,37,6,7
2/28/2017,84,51,48,42,7,7
3/1/2017,107,75,51,73,11,10
3/2/2017,157,54,41,61,7,7
3/3/2017,94,57,50,45,5,7
3/4/2017,104,50,40,39,3,7
3/5/2017,101,53,31,41,5,8
3/6/2017,103,45,25,55,8,11
3/7/2017,97,47,38,38,3,8
3/8/2017,100,36,21,38,3,10
3/9/2017,92,52,32,36,4,9
3/10/2017,126,66,39,42,3,9
3/11/2017,131,28,31,33,2,8
3/12/2017,67,30,39,31,3,7
3/13/2017,75,50,23,44,4,9
3/14/2017,108,28,23,38,3,8
3/15/2017,70,37,35,32,3,6
3/16/2017,73,43,38,36,4,7
3/17/2017,89,44,27,35,2,8
3/18/2017,104,40,27,31,2,7
3/19/2017,95,37,25,31,3,7
3/20/2017,93,37,20,45,3,8
3/21/2017,84,38,24,48,4,7
3/22/2017,93,46,35,41,2,8
3/23/2017,103,46,30,49,3,9
3/24/2017,106,36,42,48,2,7
3/25/2017,83,38,25,49,3,9
3/26/2017,81,26,18,36,3,8
3/27/2017,59,45,41,38,3,7
3/28/2017,76,59,48,43,4,7
3/29/2017,98,60,50,41,3,8
3/30/2017,104,61,41,43,3,8
3/31/2017,119,44,23,53,4,9
4/1/2017,90,32,40,69,5,9
4/2/2017,65,43,62,31,4,7
4/3/2017,97,48,52,40,4,6
4/4/2017,99,50,53,26,4,6
4/5/2017,99,45,45,36,3,6
4/6/2017,84,44,25,36,3,7
4/7/2017,84,41,11,38,8,7
4/8/2017,87,34,11,29,6,6
4/9/2017,77,20,18,21,4,5
4/10/2017,57,22,14,19,5,4
4/11/2017,50,27,12,29,7,6
4/12/2017,62,23,6,32,6,8
4/13/2017,63,24,22,37,5,7
4/14/2017,62,42,33,38,7,3
4/15/2017,86,38,29,35,7,1
4/16/2017,85,33,30,26,6,2
4/17/2017,81,28,27,38,7,4
4/18/2017,70,39,50,53,6,7
4/19/2017,87,26,27,34,6,5
4/20/2017,64,19,16,30,4,5
,,,,,,
1/1/2018,87,65,44,33,3,7
1/2/2018,153,63,45,38,3,7
1/3/2018,132,42,35,29,3,5
1/4/2018,76,30,31,26,2,5
1/5/2018,67,29,20,31,2,6
1/6/2018,75,13,19,20,1,5
1/7/2018,43,6,19,19,1,4
1/8/2018,21,16,14,29,3,8
1/9/2018,51,34,24,42,4,7
1/10/2018,94,29,26,45,5,5
1/11/2018,67,26,30,48,5,4
1/12/2018,61,24,30,43,4,4
1/13/2018,56,43,37,30,3,5
1/14/2018,82,29,33,28,3,7
1/15/2018,62,38,33,51,4,6
1/16/2018,80,40,29,56,8,8
1/17/2018,86,83,31,79,14,11
1/18/2018,161,54,42,44,4,8
1/19/2018,125,40,31,40,2,8
